,Código del Set,Nombre del Set,Fecha de Lanzamiento,Año de Lanzamiento,PVP $,Precio como Nuevo $,Precio como Usado $,Valoración de Usuarios,Porcentaje como nuevo,Porcentaje como usado
0,4695,Mini Harry Potter Knight Bus,1 Apr 2004 - 31 Dec 2004 (9m),2004,,23.914,8.866000000000001,✭✭✭✭✩ 3.6 64 ratings 11 reviews,,
1,4701,Sorting Hat,1 Sep 2001 - 31 Dec 2002 (1y 3m 29d),2001,7.0,87.659,13.563,✭✭✭✭✩ 3.4 154 ratings 19 reviews,1152.27,93.76
2,4702,The Final Challenge,1 Sep 2001 - 31 Dec 2002 (1y 3m 29d),2001,10.0,44.979000000000006,17.688,✭✭✭✭✩ 3.6 154 ratings 14 reviews,349.79,76.88
3,4704,The Chamber of the Winged Keys,1 Sep 2001 - 31 Dec 2002 (1y 3m 29d),2001,20.0,91.70700000000001,35.123000000000005,✭✭✭✭✩ 3.7 95 ratings 9 reviews,358.54,75.62
4,4705,Snape's Class,1 Sep 2001 - 31 Dec 2002 (1y 3m 29d),2001,20.0,67.727,31.515,✭✭✭✭✩ 3.8 121 ratings 13 reviews,238.64,57.58
5,4706,Forbidden Corridor,1 Oct 2001 - 31 Dec 2003 (2y 2m 29d),2001,30.0,111.14400000000002,40.260000000000005,✭✭✭✭✩ 3.9 112 ratings 11 reviews,270.48,34.2
6,4707,Hagrid's Hut,1 Sep 2001 - 30 May 2002 (8m 27d),2001,30.0,53.317,44.748000000000005,✭✭✭✭✩ 3.5 74 ratings 7 reviews,77.72,49.16
7,4708,Hogwarts Express,1 Sep 2001 - 31 Dec 2003 (2y 3m 29d),2001,50.0,128.227,57.156000000000006,✭✭✭✭✩ 4.0 109 ratings 10 reviews,156.45,14.31
8,4709,Hogwarts Castle,1 Sep 2001 - 31 Dec 2003 (2y 3m 29d),2001,90.0,294.73400000000004,110.48400000000001,✭✭✭✭✭ 4.3 137 ratings 15 reviews,227.48,22.76
9,4711,Flying Lesson,1 Jan 2002 - 31 Dec 2003 (1y 11m 28d),2002,4.0,32.263,7.436,✭✭✭✭✩ 3.3 120 ratings 18 reviews,706.58,85.9
10,4712,Troll on the Loose,1 Jan 2002 - 31 Dec 2003 (1y 11m 28d),2002,10.0,88.627,34.265,✭✭✭✭✩ 3.5 121 ratings 17 reviews,786.27,242.65
11,4714,Gringotts Bank,1 Jan 2002 - 31 Dec 2003 (1y 11m 28d),2002,30.0,131.417,41.327000000000005,✭✭✭✭✩ 3.6 75 ratings 9 reviews,338.06,37.76
12,4719,Quality Quidditch Supplies,1 Apr 2003 - 31 Dec 2004 (1y 9m),2003,10.0,51.403,25.872,✭✭✭✭✩ 3.6 56 ratings 3 reviews,414.03,158.72
13,4720,Knockturn Alley,1 Apr 2003 - 31 Dec 2004 (1y 9m),2003,20.0,182.24800000000002,64.394,✭✭✭✭✩ 3.8 52 ratings 6 reviews,811.24,221.97
14,4721,Hogwarts Classrooms,1 Sep 2001 - 31 Dec 2002 (1y 3m 29d),2001,10.0,124.168,30.998,✭✭✭✭✩ 3.5 66 ratings 5 reviews,1141.68,209.98
15,4722,Gryffindor,1 Sep 2001 - 31 Dec 2002 (1y 3m 29d),2001,10.0,90.84900000000002,32.549,✭✭✭✭✩ 3.4 61 ratings 4 reviews,808.49,225.49
16,4723,Diagon Alley Shops,1 Sep 2001 - 31 Dec 2002 (1y 3m 29d),2001,10.0,98.164,32.417,✭✭✭✭✩ 3.5 55 ratings 6 reviews,881.64,224.17
17,4726,Quidditch Practice,20 Sep 2002 - 31 Dec 2004 (2y 3m 11d),2002,13.0,91.135,20.933000000000003,✭✭✭✭✩ 3.5 85 ratings 10 reviews,601.04,61.02
18,4727,Aragog in the Dark Forest,20 Sep 2002 - 31 Dec 2003 (1y 3m 10d),2002,20.0,62.909000000000006,22.473000000000003,✭✭✭✭✩ 3.4 101 ratings 5 reviews,214.54,12.37
19,4728,Escape from Privet Drive,20 Sep 2002 - 31 Dec 2004 (2y 3m 11d),2002,30.0,157.20100000000002,40.051,✭✭✭✭✩ 4.1 90 ratings 14 reviews,424.0,33.5
20,4729,Dumbledore's Office,20 Sep 2002 - 31 Dec 2004 (2y 3m 11d),2002,50.0,199.33100000000002,55.77000000000001,✭✭✭✭✩ 4.2 110 ratings 9 reviews,298.66,11.54
21,4730,The Chamber of Secrets,20 Sep 2002 - 31 Dec 2003 (1y 3m 10d),2002,70.0,325.99600000000004,102.52000000000001,✭✭✭✭✩ 4.2 101 ratings 12 reviews,365.71,46.46
22,4731,Dobby's Release,20 Sep 2002 - 31 Dec 2003 (1y 3m 10d),2002,7.0,36.92700000000001,20.02,✭✭✭✭✩ 3.4 93 ratings 11 reviews,427.53,186.0
23,4733,The Dueling Club,20 Sep 2002 - 31 Dec 2003 (1y 3m 10d),2002,20.0,77.34100000000001,27.764,✭✭✭✭✩ 3.6 96 ratings 6 reviews,286.71,38.82
24,4735,Slytherin,20 Sep 2002 - 31 Dec 2003 (1y 3m 10d),2002,10.0,51.975,20.262000000000004,✭✭✭✭✩ 3.6 75 ratings 7 reviews,419.75,102.62
25,4736,Freeing Dobby,1 Oct 2010 - 31 Dec 2011 (1y 2m 29d),2010,10.99,28.556000000000004,15.323,✭✭✭✭✩ 3.6 241 ratings 24 reviews,159.84,39.43
26,4737,Quidditch Match,1 Oct 2010 - 31 Dec 2012 (2y 3m),2010,19.99,48.07000000000001,20.636000000000003,✭✭✭✭✩ 3.8 191 ratings 14 reviews,140.47,3.23
27,4738,Hagrid's Hut,1 Oct 2010 - 31 Dec 2012 (2y 3m),2010,39.99,83.88600000000001,23.760000000000005,✭✭✭✭✩ 4.1 222 ratings 16 reviews,109.77,-40.59
28,4750,Draco's Encounter with Buckbeak,5 Apr 2004 - 31 Jan 2005 (9m 27d),2004,8.0,27.610000000000003,22.660000000000004,✭✭✭✭✩ 3.5 63 ratings 8 reviews,245.13,183.25
