,Código del Set,Nombre del Set,Fecha de Lanzamiento,Año de Lanzamiento,PVP $,Precio como Nuevo $,Precio como Usado $,Valoración de Usuarios,Porcentaje como nuevo,Porcentaje como usado
0,4529,Iron Man,1 May 2012 - 31 Dec 2012 (8m),2012,14.99,35.024,10.098,✭✭✭✭✩ 3.4 64 ratings,133.65,-32.64
1,4530,The Hulk,1 May 2012 - 31 Dec 2012 (8m),2012,14.99,33.132000000000005,9.108,✭✭✭✩✩ 3.1 50 ratings 2 reviews,121.03,-39.24
2,4597,Captain America,1 May 2012 - 31 Dec 2012 (8m),2012,14.99,42.163000000000004,12.694,✭✭✭✩✩ 3.1 38 ratings 2 reviews,181.27,-15.32
3,6865,Captain America's Avenging Cycle,1 May 2012 - 31 Jul 2013 (1y 2m 29d),2012,12.99,32.109,12.738000000000001,✭✭✭✭✩ 3.5 332 ratings 21 reviews Brickset review,147.18,-1.94
4,6866,Wolverine's Chopper Showdown,1 May 2012 - 31 Dec 2013 (1y 8m),2012,19.99,236.841,168.223,✭✭✭✭✩ 4.2 345 ratings 16 reviews,1084.8,741.54
5,6867,Loki's Cosmic Cube Escape,1 May 2012 - 31 Dec 2013 (1y 8m),2012,19.99,55.253,25.828000000000003,✭✭✭✭✩ 3.8 329 ratings 10 reviews Brickset review,176.4,29.2
6,6868,Hulk's Helicarrier Breakout,1 May 2012 - 31 Dec 2013 (1y 8m),2012,49.99,83.908,48.22400000000001,✭✭✭✭✩ 3.7 212 ratings 8 reviews Brickset review,67.85,-3.53
7,6869,Quinjet Aerial Battle,1 May 2012 - 31 Dec 2013 (1y 8m),2012,69.99,116.76500000000001,64.075,✭✭✭✭✩ 4.2 229 ratings 8 reviews Brickset review,66.83,-8.45
8,6873,Spider-Man's Doc Ock Ambush,1 Aug 2012 - 31 Dec 2013 (1y 4m 30d),2012,29.99,57.937000000000005,35.519000000000005,✭✭✭✭✩ 3.6 127 ratings 7 reviews,93.19,18.44
9,10781,Spider-Man's Techno Trike,1 Jan 2022 - 31 Dec 2023 (1y 11m 28d),2022,9.99,13.354000000000001,,✭✭✭✩✩ 3.0 44 ratings,33.67,
10,10782,Hulk vs. Rhino Truck Showdown,1 Jan 2022 - {t.b.a},2022,19.99,,,✭✭✭✭✩ 3.3 70 ratings,,
11,10783,Spider-Man at Doc Ock's Lab,1 Jan 2022 - 31 Dec 2022 (11m 29d),2022,29.99,42.438,26.763,,41.51,-10.76
12,10784,Spider-Man Webquarters Hangout,1 Jan 2022 - 31 Dec 2023 (1y 11m 28d),2022,49.99,51.843,,✭✭✭✭✩ 3.3 21 ratings,3.71,
13,10789,Spider-Man's Car and Doc Ock,1 Mar 2023 - {t.b.a},2023,9.99,,,✭✭✭✭✩ 3.4 27 ratings,,
14,10790,Team Spidey at Green Goblin's Lighthouse,1 Mar 2023 - 31 Dec 2023 (10m),2023,34.99,30.745,,,-12.13,
15,10791,Team Spidey's Mobile Headquarters,1 Mar 2023 - 31 Dec 2024 (1y 10m 1d),2023,49.99,,,,,
16,10792,Drill Spinner Vehicle,1 Mar 2024 - 31 Dec 2024 (10m),2024,9.99,,,,,
17,10793,Spidey vs. Green Goblin ,1 Mar 2024 - 31 Dec 2024 (10m),2024,19.99,,,,,
18,10794,Team Spidey Web Spinner Headquarters,1 Mar 2024 - {t.b.a},2024,54.99,,,,,
19,30162,Quinjet,Año no disponible,2012,,3.8280000000000003,1.4300000000000002,✭✭✭✭✩ 3.3 65 ratings 3 reviews,,
20,30163,Thor and the Cosmic Cube,Año no disponible,2012,4.99,8.547,7.689000000000001,✭✭✭✭✩ 3.5 96 ratings 4 reviews,71.28,54.09
21,30165,Hawkeye with equipment,Año no disponible,2012,,9.163,4.1690000000000005,✭✭✭✭✩ 3.3 88 ratings 4 reviews,,
22,30167,Iron Man vs. Fighting Drone,1 Jan 2013 - 31 Dec 2013 (11m 29d),2013,4.99,19.833000000000002,12.76,✭✭✭✭✩ 3.3 87 ratings 2 reviews,297.45,155.71
23,30168,Gun mounting system,Año no disponible,2013,,89.804,64.79,✭✭✭✭✭ 4.3 141 ratings 4 reviews,,
24,30302,Spider-Man,1 Jan 2014 - 31 Dec 2014 (11m 29d),2014,3.99,8.085,3.619,✭✭✭✩✩ 3.1 73 ratings 2 reviews,102.63,-9.3
25,30304,The Avengers Quinjet,1 Mar 2015 - 31 Dec 2015 (10m),2015,,7.172,4.939000000000001,✭✭✭✭✩ 3.6 36 ratings 1 review Brickset review,,
26,30305,Spider-Man Super Jumper,1 Mar 2015 - 31 Dec 2015 (10m),2015,,5.181,3.3660000000000005,✭✭✭✩✩ 3.1 153 ratings 2 reviews,,
27,30443,Spider-Man Bridge Battle,17 Jan 2022 - 31 Dec 2022 (11m 13d),2022,,6.743,3.718,✭✭✭✭✩ 4.0 97 ratings 3 reviews Brickset review,,
28,30447,Captain America's Motorcycle ,1 Mar 2016 - 31 Dec 2016 (10m),2016,,11.363000000000001,9.943999999999999,✭✭✭✭✩ 3.7 218 ratings 3 reviews,,
29,30448,Spider-Man vs. The Venom Symbiote,1 Mar 2016 - 31 Dec 2016 (10m),2016,,27.698,13.145,✭✭✭✭✩ 4.0 81 ratings 3 reviews Brickset review,,
