,Código del Set,Nombre del Set,Fecha de Lanzamiento,Año de Lanzamiento,PVP $,Precio como Nuevo $,Precio como Usado $,Valoración de Usuarios,Porcentaje como nuevo,Porcentaje como usado
0,3219,Mini TIE Fighter,1 Nov 2002 - 31 Dec 2003 (1y 1m 29d),2003,,24.805000000000003,4.73,✭✭✭✭✩ 3.3 77 ratings 5 reviews,,
1,3340,"Star Wars #1 - Emperor Palpatine, Darth Maul and Darth Vader",Año no disponible,2000,5.0,167.27700000000002,131.571,✭✭✭✭✩ 4.2 45 ratings 4 reviews,3245.54,2531.42
2,3341,"Star Wars #2 - Luke Skywalker, Han Solo and Boba Fett",Año no disponible,2000,5.0,168.38800000000003,104.28,✭✭✭✭✭ 4.3 37 ratings 3 reviews,3267.76,1985.6
3,3342,Star Wars #3 - Chewbacca and 2 Biker Scouts,Año no disponible,2000,5.0,79.739,53.746,✭✭✭✭✩ 4.2 28 ratings 4 reviews,1494.78,974.92
4,3343,Star Wars #4 - Battle Droid Commander and 2 Battle Droids,Año no disponible,2000,5.0,74.525,39.93,✭✭✭✭✩ 3.9 33 ratings 5 reviews,1390.5,698.6
5,4475,Jabba's Message,1 Jan 2003 - 31 Dec 2003 (11m 29d),2003,7.0,90.57400000000001,46.398,✭✭✭✭✩ 3.8 200 ratings 36 reviews,1193.91,562.83
6,4476,Jabba's Prize,1 Jan 2003 - 31 Dec 2003 (11m 29d),2003,7.0,135.828,61.996,✭✭✭✭✩ 3.8 193 ratings 32 reviews,1840.4,785.66
7,4477,T-16 Skyhopper ,1 Jan 2003 - 31 Dec 2003 (11m 29d),2003,15.0,74.602,28.468,✭✭✭✭✩ 3.4 137 ratings 16 reviews,397.35,89.79
8,4478,Geonosian Fighter,1 Jan 2003 - 31 Dec 2004 (1y 11m 29d),2003,20.0,176.81400000000002,80.047,✭✭✭✭✩ 3.9 163 ratings 30 reviews,784.07,300.24
9,4479,TIE Bomber,1 Jan 2003 - 1 Apr 2005 (2y 2m 29d),2003,30.0,180.4,60.36800000000001,✭✭✭✭✩ 3.9 159 ratings 23 reviews Brickset review,501.33,101.23
10,4480,Jabba's Palace,1 Jan 2003 - 31 Dec 2004 (1y 11m 29d),2003,30.0,275.53900000000004,168.223,✭✭✭✭✩ 3.8 144 ratings 24 reviews,818.46,460.74
11,4481,Hailfire Droid,1 Jun 2003 - 31 Dec 2003 (6m 30d),2003,50.0,295.9440000000001,152.779,✭✭✭✭✩ 4.1 77 ratings 16 reviews,491.89,205.56
12,4482,AT-TE,1 Jan 2003 - 31 Dec 2004 (1y 11m 29d),2003,70.0,590.6560000000001,243.18800000000005,✭✭✭✭✩ 4.2 97 ratings 16 reviews,743.79,247.41
13,4483,AT-AT,1 Jun 2003 - 31 Dec 2004 (1y 7m),2003,100.0,423.64300000000003,155.54000000000002,✭✭✭✭✭ 4.4 177 ratings 48 reviews,323.64,55.54
14,4484,X-wing Fighter & TIE Advanced,1 Jan 2003 - 31 Dec 2003 (11m 29d),2003,4.0,28.435000000000002,10.076,✭✭✭✭✩ 3.6 142 ratings 18 reviews,610.88,151.9
15,4485,Sebulba's Podracer & Anakin's Podracer,1 Jan 2003 - 31 Dec 2003 (11m 29d),2003,4.0,13.783000000000001,6.699000000000001,✭✭✭✭✩ 3.5 128 ratings 27 reviews,244.58,67.48
16,4486,AT-ST & Snowspeeder,1 Jan 2003 - 31 Dec 2003 (11m 29d),2003,4.0,22.209000000000003,10.186,✭✭✭✭✩ 3.7 148 ratings 20 reviews,455.23,154.65
17,4487,Jedi Starfighter & Slave I,1 Jan 2003 - 31 Dec 2003 (11m 29d),2003,4.0,32.428000000000004,9.405000000000001,✭✭✭✭✩ 3.7 143 ratings 21 reviews,710.7,135.13
18,4488,Millennium Falcon,1 Jun 2003 - 1 Jun 2004 (1y),2003,7.0,50.34700000000001,17.611000000000004,✭✭✭✭✩ 3.7 134 ratings 13 reviews,619.24,151.59
19,4489,AT-AT,1 Jun 2003 - 1 Jun 2004 (1y),2003,7.0,39.31400000000001,13.739,✭✭✭✭✩ 3.4 100 ratings 12 reviews,461.63,96.27
20,4490,Republic Gunship,1 Jun 2003 - 1 Jun 2004 (1y),2003,7.0,38.885000000000005,17.490000000000002,✭✭✭✭✩ 3.8 97 ratings 12 reviews,455.5,149.86
21,4491,MTT,1 Jun 2003 - 1 Jun 2004 (1y),2003,7.0,22.242,8.085,✭✭✭✭✩ 3.6 109 ratings 16 reviews,217.74,15.5
22,4492,Star Destroyer,1 Jan 2004 - 31 Dec 2004 (11m 30d),2004,7.0,29.975,12.001000000000001,✭✭✭✭✩ 3.8 112 ratings 16 reviews,328.21,71.44
23,4493,Sith Infiltrator,1 Jan 2004 - 31 Dec 2004 (11m 30d),2004,6.99,20.713,11.572000000000001,✭✭✭✭✩ 3.5 65 ratings 5 reviews,196.32,65.55
24,4494,Imperial Shuttle,1 Jan 2004 - 31 Dec 2004 (11m 30d),2004,7.0,29.018,10.626000000000001,✭✭✭✭✩ 3.8 99 ratings 10 reviews,314.54,51.8
