Código del Set,Nombre del Set,Año de Lanzamiento,PVP,Precio como Nuevo,Precio como Usado,Valoración de Usuarios
4695,4695:  Mini Harry Potter Knight Bus,1 Apr 2004 - 31 Dec 2004 (9m),PVP no disponible,~€21.74,~€8.06,✭✭✭✭✩ 3.6 64 ratings 11 reviews
4701,4701:  Sorting Hat,1 Sep 2001 - 31 Dec 2002 (1y 3m 29d),$7.00,~€79.69,~€12.33,✭✭✭✭✩ 3.4 154 ratings 19 reviews
4702,4702:  The Final Challenge,1 Sep 2001 - 31 Dec 2002 (1y 3m 29d),$10.00,~€40.89,~€16.08,✭✭✭✭✩ 3.6 154 ratings 14 reviews
4704,4704:  The Chamber of the Winged Keys,1 Sep 2001 - 31 Dec 2002 (1y 3m 29d),$20.00,~€83.37,~€31.93,✭✭✭✭✩ 3.7 95 ratings 9 reviews
4705,4705:  Snape's Class,1 Sep 2001 - 31 Dec 2002 (1y 3m 29d),$20.00,~€61.57,~€28.65,✭✭✭✭✩ 3.8 121 ratings 13 reviews
4706,4706:  Forbidden Corridor,1 Oct 2001 - 31 Dec 2003 (2y 2m 29d),$30.00,~€101.04,~€36.60,✭✭✭✭✩ 3.9 112 ratings 11 reviews
4707,4707:  Hagrid's Hut,1 Sep 2001 - 30 May 2002 (8m 27d),$30.00,~€48.47,~€40.68,✭✭✭✭✩ 3.5 74 ratings 7 reviews
4708,4708:  Hogwarts Express,1 Sep 2001 - 31 Dec 2003 (2y 3m 29d),$50.00,~€116.57,~€51.96,✭✭✭✭✩ 4.0 109 ratings 10 reviews
4709,4709:  Hogwarts Castle,1 Sep 2001 - 31 Dec 2003 (2y 3m 29d),$90.00,~€267.94,~€100.44,✭✭✭✭✭ 4.3 137 ratings 15 reviews
4711,4711:  Flying Lesson,1 Jan 2002 - 31 Dec 2003 (1y 11m 28d),$4.00,~€29.33,~€6.76,✭✭✭✭✩ 3.3 120 ratings 18 reviews
4712,4712:  Troll on the Loose,1 Jan 2002 - 31 Dec 2003 (1y 11m 28d),$10.00,~€80.57,~€31.15,✭✭✭✭✩ 3.5 121 ratings 17 reviews
4714,4714:  Gringotts Bank,1 Jan 2002 - 31 Dec 2003 (1y 11m 28d),$30.00,~€119.47,~€37.57,✭✭✭✭✩ 3.6 75 ratings 9 reviews
4719,4719:  Quality Quidditch Supplies,1 Apr 2003 - 31 Dec 2004 (1y 9m),$10.00,~€46.73,~€23.52,✭✭✭✭✩ 3.6 56 ratings 3 reviews
4720,4720:  Knockturn Alley,1 Apr 2003 - 31 Dec 2004 (1y 9m),$20.00,~€165.68,~€58.54,✭✭✭✭✩ 3.8 52 ratings 6 reviews
4721,4721:  Hogwarts Classrooms,1 Sep 2001 - 31 Dec 2002 (1y 3m 29d),$10.00,~€112.88,~€28.18,✭✭✭✭✩ 3.5 66 ratings 5 reviews
4722,4722:  Gryffindor,1 Sep 2001 - 31 Dec 2002 (1y 3m 29d),$10.00,~€82.59,~€29.59,✭✭✭✭✩ 3.4 61 ratings 4 reviews
4723,4723:  Diagon Alley Shops,1 Sep 2001 - 31 Dec 2002 (1y 3m 29d),$10.00,~€89.24,~€29.47,✭✭✭✭✩ 3.5 55 ratings 6 reviews
4726,4726:  Quidditch Practice,20 Sep 2002 - 31 Dec 2004 (2y 3m 11d),$13.00,~€82.85,~€19.03,✭✭✭✭✩ 3.5 85 ratings 10 reviews
4727,4727:  Aragog in the Dark Forest,20 Sep 2002 - 31 Dec 2003 (1y 3m 10d),$20.00,~€57.19,~€20.43,✭✭✭✭✩ 3.4 101 ratings 5 reviews
4728,4728:  Escape from Privet Drive,20 Sep 2002 - 31 Dec 2004 (2y 3m 11d),$30.00,~€142.91,~€36.41,✭✭✭✭✩ 4.1 90 ratings 14 reviews
4729,4729:  Dumbledore's Office,20 Sep 2002 - 31 Dec 2004 (2y 3m 11d),$50.00,~€181.21,~€50.70,✭✭✭✭✩ 4.2 110 ratings 9 reviews
4730,4730:  The Chamber of Secrets,20 Sep 2002 - 31 Dec 2003 (1y 3m 10d),$70.00,~€296.36,~€93.20,✭✭✭✭✩ 4.2 101 ratings 12 reviews
4731,4731:  Dobby's Release,20 Sep 2002 - 31 Dec 2003 (1y 3m 10d),$7.00,~€33.57,~€18.20,✭✭✭✭✩ 3.4 93 ratings 11 reviews
4733,4733:  The Dueling Club,20 Sep 2002 - 31 Dec 2003 (1y 3m 10d),$20.00,~€70.31,~€25.24,✭✭✭✭✩ 3.6 96 ratings 6 reviews
4735,4735:  Slytherin,20 Sep 2002 - 31 Dec 2003 (1y 3m 10d),$10.00,~€47.25,~€18.42,✭✭✭✭✩ 3.6 75 ratings 7 reviews
4736,4736:  Freeing Dobby,1 Oct 2010 - 31 Dec 2011 (1y 2m 29d),$10.99 | More,~€25.96,~€13.93,✭✭✭✭✩ 3.6 241 ratings 24 reviews
4737,4737:  Quidditch Match,1 Oct 2010 - 31 Dec 2012 (2y 3m),$19.99 | More,~€43.70,~€18.76,✭✭✭✭✩ 3.8 191 ratings 14 reviews
4738,4738:  Hagrid's Hut,1 Oct 2010 - 31 Dec 2012 (2y 3m),$39.99 | More,~€76.26,~€21.60,✭✭✭✭✩ 4.1 222 ratings 16 reviews
4750,4750:  Draco's Encounter with Buckbeak,5 Apr 2004 - 31 Jan 2005 (9m 27d),$8.00,~€25.10,~€20.60,✭✭✭✭✩ 3.5 63 ratings 8 reviews
4751,4751:  Harry and the Marauder's Map,5 Apr 2004 - 31 Dec 2004 (8m 26d),$10.00,~€79.48,~€26.58,✭✭✭✭✩ 3.6 67 ratings 3 reviews
4752,4752:  Professor Lupin's Classroom,5 Apr 2004 - 31 Dec 2004 (8m 26d),$20.00,~€56.23,~€42.04,✭✭✭✭✩ 4.0 59 ratings 5 reviews
4753,4753:  Sirius Black's Escape,5 Apr 2004 - 31 Dec 2004 (8m 26d),$20.00,~€138.39,~€33.96,✭✭✭✭✩ 4.0 69 ratings 13 reviews
4754,4754:  Hagrid's Hut,5 Apr 2004 - 31 Dec 2005 (1y 8m 26d),$30.00,~€112.50,~€40.23,✭✭✭✭✩ 4.0 46 ratings 3 reviews
4755,4755:  Knight Bus,5 Apr 2004 - 31 Dec 2005 (1y 8m 26d),$30.00,~€102.05,~€35.38,✭✭✭✭✩ 4.0 73 ratings 9 reviews
4756,4756:  Shrieking Shack,5 Apr 2004 - 31 Jul 2005 (1y 3m 25d),$50.00,~€278.31,~€126.64,✭✭✭✭✭ 4.3 62 ratings 9 reviews
4757,4757:  Hogwarts Castle,5 Apr 2004 - 31 Dec 2005 (1y 8m 26d),$90.00,~€474.87,~€176.28,✭✭✭✭✭ 4.5 99 ratings 9 reviews
4758,4758:  Hogwarts Express,5 Apr 2004 - 31 Dec 2005 (1y 8m 26d),$40.00,~€207.28,~€76.47,✭✭✭✭✩ 3.9 39 ratings 4 reviews
4762,4762:  Rescue from the Merpeople,1 Oct 2005 - 31 Jul 2006 (9m 29d),$20.00,~€222.66,~€52.42,✭✭✭✭✩ 4.0 53 ratings 5 reviews
4766,4766:  Graveyard Duel,1 Oct 2005 - 31 Jul 2006 (9m 29d),$30.00,~€367.67,~€166.63,✭✭✭✭✭ 4.3 69 ratings 3 reviews
4767,4767:  Harry and the Hungarian Horntail,1 Oct 2005 - 31 Jul 2006 (9m 29d),$30.00,~€268.11,~€97.41,✭✭✭✭✩ 3.7 48 ratings 3 reviews
4768,4768:  The Durmstrang Ship,1 Oct 2005 - 31 Jul 2006 (9m 29d),$49.99,~€300.52,~€198.14,✭✭✭✭✩ 3.9 43 ratings 6 reviews
4768,4768:  The Durmstrang Ship with Bonus Minifigures,1 Oct 2005 - 31 Jul 2006 (9m 29d),PVP no disponible,~€278.32,~€255.13,
4840,4840:  The Burrow,1 Oct 2010 - 31 Dec 2011 (1y 2m 29d),$59.99 | More,~€158.48,~€84.70,✭✭✭✭✩ 4.2 175 ratings 14 reviews
