SetID,Number,Variant,YearFrom,Category,Theme,ThemeGroup,Subtheme,SetName,Image,ImageFilename,USRetailPrice,UKRetailPrice,CARetailPrice,DERetailPrice,USDateAdded,USDateRemoved,Pieces,Minifigs,PackagingType,Availability,USItemNumber,EUItemNumber,EAN,UPC,Width,Height,Depth,Weight,AgeMin,AgeMax,OwnCount,WantCount,InstructionsCount,AdditionalImageCount,Released,Rating,BrickLinkSoldPriceNew,BrickLinkSoldPriceUsed,Designers,LaunchDate,ExitDate,Own,Want,QtyOwned,QtyOwnedNew,QtyOwnedUsed,QtyWanted,WantedPriority,,Flag2,Flag3,Flag4,Flag5,Flag6,Flag7,Flag8,UserNotes
"2293","4695","1","2004","Normal","Harry Potter","Licensed","Prisoner of Azkaban","Mini Harry Potter Knight Bus","X","4695-1","","","","","","","58","","Polybag","Promotional","4237130","","5702014400160","673419046244","17","17","0","","","","2873","1764","1","1","X","49","23.4300","8.6900","","01/04/2004 00:00:00","31/12/2004 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"2294","4701","1","2001","Normal","Harry Potter","Licensed","Philosopher's Stone","Sorting Hat","X","4701-1","7","4.99","","","","","48","1","Box","Retail","4154323","","5702012016592","042884047016","14.4","14.4","4.8","","","","6453","1841","1","1","X","68","85.9000","13.2900","Henrik Rubin Saaby,","01/09/2001 00:00:00","31/12/2002 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"2295","4702","1","2001","Normal","Harry Potter","Licensed","Philosopher's Stone","The Final Challenge","X","4702-1","10","8.99","","","","","60","2","Box","Retail","4154325","","5702012016608","042884047023","14.4","19.2","4.8","","","","5861","1961","1","1","X","53","44.0700","17.3300","","01/09/2001 00:00:00","31/12/2002 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"2296","4704","1","2001","Normal","Harry Potter","Licensed","Philosopher's Stone","The Chamber of the Winged Keys","X","4704-1","20","16.99","","","","","175","3","Box","Retail","1036001","1036001","5702012016622","042884047047","28.8","19.2","4.8","","","","4493","1992","1","1","X","38","89.8600","34.4200","Henrik Rubin Saaby,","01/09/2001 00:00:00","31/12/2002 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"2297","4705","1","2001","Normal","Harry Potter","Licensed","Philosopher's Stone","Snape's Class","X","4705-1","20","16.99","","","","","163","3","Box","Retail","4154330","","5702012016639","042884047054","28.8","19.2","4.8","","","","4973","2010","1","1","X","56","66.3700","30.8800","Henrik Rubin Saaby,","01/09/2001 00:00:00","31/12/2002 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"2298","4706","1","2001","Normal","Harry Potter","Licensed","Philosopher's Stone","Forbidden Corridor","X","4706-1","30","24.99","","","","","238","3","Box","Retail","4181146","4181107","5702012016646","042884047061","28.8","28.8","7.2","","","","5147","2230","1","1","X","43","108.9100","39.4500","Hans Henrik Sidenius,","01/10/2001 00:00:00","31/12/2003 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"2299","4707","1","2001","Normal","Harry Potter","Licensed","Philosopher's Stone","Hagrid's Hut","X","4707-1","30","24.99","","","","","299","2","Box","Retail","4154335","4154334","5702012016653","042884047078","28.8","28.8","6","","","","4631","2127","1","1","X","29","52.2500","43.8500","","01/09/2001 00:00:00","30/05/2002 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"2300","4708","1","2001","Normal","Harry Potter","Licensed","Philosopher's Stone","Hogwarts Express","X","4708-1","50","39.99","","","","","410","3","Box","Retail","4154337","4154336","5702012016660","042884047085","38.4","28.8","7.2","","","","5371","2332","1","1","X","41","125.6500","56.0100","Hans Henrik Sidenius,","01/09/2001 00:00:00","31/12/2003 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"2301","4709","1","2001","Normal","Harry Potter","Licensed","Philosopher's Stone","Hogwarts Castle","X","4709-1","90","79.99","","","","","682","9","Box","Retail","4154339","4154338","5702012016677","042884047092","57.6","38.4","7.2","","","","5791","2580","1","1","X","70","288.8100","108.2600","","01/09/2001 00:00:00","31/12/2003 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"2302","4711","1","2002","Normal","Harry Potter","Licensed","Philosopher's Stone","Flying Lesson","X","4711-1","4","2.99","","","","","23","2","Box","Retail","4166002","4163095","","673419010139","9.6","9.6","4.8","","","","5077","1738","1","1","X","67","31.6200","7.2900","Henrik Rubin Saaby,","01/01/2002 00:00:00","31/12/2003 00:00:00","","","0","0","0","0","0","","","","","","","","",""
