Código del Set,Nombre del Set,Año de Lanzamiento,PVP,Precio como Nuevo,Precio como Usado,Valoración de Usuarios
4529,4529:  Iron Man,1 May 2012 - 31 Dec 2012 (8m),$14.99 | More,~€31.84,~€9.18,✭✭✭✭✩ 3.4 64 ratings
4530,4530:  The Hulk,1 May 2012 - 31 Dec 2012 (8m),$14.99 | More,~€30.12,~€8.28,✭✭✭✩✩ 3.1 50 ratings 2 reviews
4597,4597:  Captain America,1 May 2012 - 31 Dec 2012 (8m),$14.99 | More,~€38.33,~€11.54,✭✭✭✩✩ 3.1 38 ratings 2 reviews
6865,6865:  Captain America's Avenging Cycle,1 May 2012 - 31 Jul 2013 (1y 2m 29d),$12.99 | More,~€29.19,~€11.58,✭✭✭✭✩ 3.5 332 ratings 21 reviews Brickset review
6866,6866:  Wolverine's Chopper Showdown,1 May 2012 - 31 Dec 2013 (1y 8m),$19.99 | More,~€215.31,~€152.93,✭✭✭✭✩ 4.2 345 ratings 16 reviews
6867,6867:  Loki's Cosmic Cube Escape,1 May 2012 - 31 Dec 2013 (1y 8m),$19.99 | More,~€50.23,~€23.48,✭✭✭✭✩ 3.8 329 ratings 10 reviews Brickset review
6868,6868:  Hulk's Helicarrier Breakout,1 May 2012 - 31 Dec 2013 (1y 8m),$49.99 | More,~€76.28,~€43.84,✭✭✭✭✩ 3.7 212 ratings 8 reviews Brickset review
6869,6869:  Quinjet Aerial Battle,1 May 2012 - 31 Dec 2013 (1y 8m),$69.99 | More,~€106.15,~€58.25,✭✭✭✭✩ 4.2 229 ratings 8 reviews Brickset review
6873,6873:  Spider-Man's Doc Ock Ambush,1 Aug 2012 - 31 Dec 2013 (1y 4m 30d),$29.99 | More,~€52.67,~€32.29,✭✭✭✭✩ 3.6 127 ratings 7 reviews
10781,10781:  Spider-Man's Techno Trike,1 Jan 2022 - 31 Dec 2023 (1y 11m 28d),"$9.99, €9.99 | More",~€12.14,Precio usado no disponible,✭✭✭✩✩ 3.0 44 ratings
10782,10782:  Hulk vs. Rhino Truck Showdown,1 Jan 2022 - {t.b.a},"$19.99, €19.99 | More",Precio nuevo no disponible,Precio usado no disponible,✭✭✭✭✩ 3.3 70 ratings
10783,10783:  Spider-Man at Doc Ock's Lab,1 Jan 2022 - 31 Dec 2022 (11m 29d),"$29.99, €29.99 | More",~€38.58,~€24.33,
10784,10784:  Spider-Man Webquarters Hangout,1 Jan 2022 - 31 Dec 2023 (1y 11m 28d),"$49.99, €49.99 | More",~€47.13,Precio usado no disponible,✭✭✭✭✩ 3.3 21 ratings
10789,10789:  Spider-Man's Car and Doc Ock,1 Mar 2023 - {t.b.a},"$9.99, €9.99 | More",Precio nuevo no disponible,Precio usado no disponible,✭✭✭✭✩ 3.4 27 ratings
10790,10790:  Team Spidey at Green Goblin's Lighthouse,1 Mar 2023 - 31 Dec 2023 (10m),"$34.99, €34.99 | More",~€27.95,Precio usado no disponible,
10791,10791:  Team Spidey's Mobile Headquarters,1 Mar 2023 - 31 Dec 2024 (1y 10m 1d),"$49.99, €49.99 | More",Precio nuevo no disponible,Precio usado no disponible,
10792,10792:  Drill Spinner Vehicle,1 Mar 2024 - 31 Dec 2024 (10m),"$9.99, €9.99 | More",Precio nuevo no disponible,Precio usado no disponible,
10793,10793:  Spidey vs. Green Goblin,1 Mar 2024 - 31 Dec 2024 (10m),"$19.99, €19.99 | More",Precio nuevo no disponible,Precio usado no disponible,
