SetID,Number,Variant,YearFrom,Category,Theme,ThemeGroup,Subtheme,SetName,Image,ImageFilename,USRetailPrice,UKRetailPrice,CARetailPrice,DERetailPrice,USDateAdded,USDateRemoved,Pieces,Minifigs,PackagingType,Availability,USItemNumber,EUItemNumber,EAN,UPC,Width,Height,Depth,Weight,AgeMin,AgeMax,OwnCount,WantCount,InstructionsCount,AdditionalImageCount,Released,Rating,BrickLinkSoldPriceNew,BrickLinkSoldPriceUsed,Designers,LaunchDate,ExitDate,Own,Want,QtyOwned,QtyOwnedNew,QtyOwnedUsed,QtyWanted,WantedPriority,,Flag2,Flag3,Flag4,Flag5,Flag6,Flag7,Flag8,UserNotes
"8902","4529","1","2012","Normal","Marvel Super Heroes","Licensed","Buildable Figures","Iron Man","X","4529-1","14.99","10.99","17.99","","04/05/2012 00:00:00","09/10/2012 00:00:00","44","","Box","Retail","4653807","4644149","","673419166584","14.1","26.19","4.8","0.2","6","12","2459","1124","1","2","X","0","34.3200","9.9000","","01/05/2012 00:00:00","31/12/2012 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"8903","4530","1","2012","Normal","Marvel Super Heroes","Licensed","Buildable Figures","The Hulk","X","4530-1","14.99","10.99","17.99","","04/05/2012 00:00:00","05/11/2012 00:00:00","39","","Box","Retail","4653810","4644151","","673419166591","14.1","26.19","4.8","0.2","6","12","2041","849","2","2","X","9","32.4700","8.9200","","01/05/2012 00:00:00","31/12/2012 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"8904","4597","1","2012","Normal","Marvel Super Heroes","Licensed","Buildable Figures","Captain America","X","4597-1","14.99","10.99","17.99","","04/05/2012 00:00:00","05/11/2012 00:00:00","44","","Box","Retail","4653814","4644152","","673419166607","14.1","26.19","4.8","0.2","6","12","2072","909","2","2","X","8","41.3200","12.4400","","01/05/2012 00:00:00","31/12/2012 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"8981","6865","1","2012","Normal","Marvel Super Heroes","Licensed","The Avengers","Captain America's Avenging Cycle","X","6865-1","12.99","11.99","15.99","","09/04/2012 00:00:00","05/11/2013 00:00:00","72","3","Box","Retail","4654653","4640878","5702014842397","673419168434","19.1","14.1","4.6","0.11","5","12","12031","2403","2","4","X","84","31.4600","12.4800","","01/05/2012 00:00:00","31/07/2013 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"8982","6866","1","2012","Normal","Marvel Super Heroes","Licensed","X-Men","Wolverine's Chopper Showdown","X","6866-1","19.99","19.99","24.99","","09/04/2012 00:00:00","02/12/2013 00:00:00","199","3","Box","Retail","4654654","4640879","5702014842403","673419168441","26.2","19.1","6.1","0.34","6","12","11818","4173","4","5","X","70","232.0800","164.8400","","01/05/2012 00:00:00","31/12/2013 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"8983","6867","1","2012","Normal","Marvel Super Heroes","Licensed","The Avengers","Loki's Cosmic Cube Escape","X","6867-1","19.99","19.99","24.99","","09/04/2012 00:00:00","28/01/2014 00:00:00","181","3","Box","Retail","4654655","4640880","5702014842410","673419168458","26.2","19.1","6.1","0.35","6","12","12006","3087","4","5","X","39","54.1400","25.3100","","01/05/2012 00:00:00","31/12/2013 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"8984","6868","1","2012","Normal","Marvel Super Heroes","Licensed","The Avengers","Hulk's Helicarrier Breakout","X","6868-1","49.99","49.99","64.99","","09/04/2012 00:00:00","05/11/2013 00:00:00","389","4","Box","Retail","4654657","4640881","5702014842427","673419168465","48","28.2","6.1","0.87","7","14","8200","2878","4","5","X","37","82.2200","47.2600","","01/05/2012 00:00:00","31/12/2013 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"8985","6869","1","2012","Normal","Marvel Super Heroes","Licensed","The Avengers","Quinjet Aerial Battle","X","6869-1","69.99","69.99","89.99","","09/04/2012 00:00:00","31/12/2013 00:00:00","735","5","Box","Retail","4654658","4640882","5702014842434","673419168472","48","37.8","7.1","1.43","8","14","8483","3441","8","7","X","38","114.4200","62.7900","","01/05/2012 00:00:00","31/12/2013 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"9225","6873","1","2012","Normal","Marvel Super Heroes","Licensed","Ultimate Spider-Man","Spider-Man's Doc Ock Ambush","X","6873-1","29.99","34.99","39.99","","24/07/2012 00:00:00","31/12/2013 00:00:00","295","3","Box","Retail - limited","4654959","4654958","5702014842694","","38.2","26.2","5.7","","6","12","5413","2579","4","6","X","30","56.7700","34.8100","","01/08/2012 00:00:00","31/12/2013 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"31974","10781","1","2022","Normal","Marvel Super Heroes","Licensed","Spidey and His Amazing Friends","Spider-Man's Techno Trike","X","10781-1","9.99","8.99","13.99","9.99","02/01/2022 00:00:00","01/03/2024 00:00:00","59","2","Box","Retail","6378830","6378829","5702017150642","673419354912","19.1","14.1","4.6","","4","","2214","362","2","6","X","0","13.0900","","","01/01/2022 00:00:00","31/12/2023 00:00:00","","","0","0","0","0","0","","","","","","","","",""
