Código del Set,Nombre del Set,Año de Lanzamiento,PVP,Precio como Nuevo,Precio como Usado,Valoración de Usuarios
3219,3219:  Mini TIE Fighter,1 Nov 2002 - 31 Dec 2003 (1y 1m 29d),PVP no disponible,~€22.55,~€4.30,✭✭✭✭✩ 3.3 77 ratings 5 reviews
3340,"3340:  Star Wars #1 - Emperor Palpatine, Darth Maul and Darth Vader",Año no disponible,$5.00,~€152.07,~€119.61,✭✭✭✭✩ 4.2 45 ratings 4 reviews
3341,"3341:  Star Wars #2 - Luke Skywalker, Han Solo and Boba Fett",Año no disponible,$5.00,~€153.08,~€94.80,✭✭✭✭✭ 4.3 37 ratings 3 reviews
3342,3342:  Star Wars #3 - Chewbacca and 2 Biker Scouts,Año no disponible,$5.00,~€72.49,~€48.86,✭✭✭✭✩ 4.2 28 ratings 4 reviews
3343,3343:  Star Wars #4 - Battle Droid Commander and 2 Battle Droids,Año no disponible,$5.00,~€67.75,~€36.30,✭✭✭✭✩ 3.9 33 ratings 5 reviews
4475,4475:  Jabba's Message,1 Jan 2003 - 31 Dec 2003 (11m 29d),$7.00,~€82.34,~€42.18,✭✭✭✭✩ 3.8 200 ratings 36 reviews
4476,4476:  Jabba's Prize,1 Jan 2003 - 31 Dec 2003 (11m 29d),$7.00,~€123.48,~€56.36,✭✭✭✭✩ 3.8 193 ratings 32 reviews
4477,4477:  T-16 Skyhopper,1 Jan 2003 - 31 Dec 2003 (11m 29d),"$15.00, €18.99",~€67.82,~€25.88,✭✭✭✭✩ 3.4 137 ratings 16 reviews
4478,4478:  Geonosian Fighter,1 Jan 2003 - 31 Dec 2004 (1y 11m 29d),"$20.00, €28.99",~€160.74,~€72.77,✭✭✭✭✩ 3.9 163 ratings 30 reviews
4479,4479:  TIE Bomber,1 Jan 2003 - 1 Apr 2005 (2y 2m 29d),"$30.00, €39.99",~€164.00,~€54.88,✭✭✭✭✩ 3.9 159 ratings 23 reviews Brickset review
4480,4480:  Jabba's Palace,1 Jan 2003 - 31 Dec 2004 (1y 11m 29d),"$30.00, €39.99",~€250.49,~€152.93,✭✭✭✭✩ 3.8 144 ratings 24 reviews
4481,4481:  Hailfire Droid,1 Jun 2003 - 31 Dec 2003 (6m 30d),$50.00,~€269.04,~€138.89,✭✭✭✭✩ 4.1 77 ratings 16 reviews
4482,4482:  AT-TE,1 Jan 2003 - 31 Dec 2004 (1y 11m 29d),"$70.00, €94.99",~€536.96,~€221.08,✭✭✭✭✩ 4.2 97 ratings 16 reviews
4483,4483:  AT-AT,1 Jun 2003 - 31 Dec 2004 (1y 7m),"$100.00, €129.99",~€385.13,~€141.40,✭✭✭✭✭ 4.4 177 ratings 48 reviews
