SetID,Number,Variant,YearFrom,Category,Theme,ThemeGroup,Subtheme,SetName,Image,ImageFilename,USRetailPrice,UKRetailPrice,CARetailPrice,DERetailPrice,USDateAdded,USDateRemoved,Pieces,Minifigs,PackagingType,Availability,USItemNumber,EUItemNumber,EAN,UPC,Width,Height,Depth,Weight,AgeMin,AgeMax,OwnCount,WantCount,InstructionsCount,AdditionalImageCount,Released,Rating,BrickLinkSoldPriceNew,BrickLinkSoldPriceUsed,Designers,LaunchDate,ExitDate,Own,Want,QtyOwned,QtyOwnedNew,QtyOwnedUsed,QtyWanted,WantedPriority,,Flag2,Flag3,Flag4,Flag5,Flag6,Flag7,Flag8,UserNotes
"1394","3219","1","2003","Normal","Star Wars","Licensed","Mini Building Set","Mini TIE Fighter","X","3219-1","","","","","","","12","","Polybag","{Not specified}","4191793","4192706","5702014282230","673419020190","14","14","1","","","","3505","1709","1","0","X","18","24.3100","4.6300","","01/11/2002 00:00:00","31/12/2003 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"1469","3340","1","2000","Normal","Star Wars","Licensed","Minifig Pack","Star Wars #1 - Emperor Palpatine, Darth Maul and Darth Vader","X","3340-1","5","","","","","","32","3","Box","LEGO exclusive","","","","042884033408","","","","","","","1580","2625","0","0","X","20","163.9200","128.9300","","","","","","0","0","0","0","0","","","","","","","","",""
"1470","3341","1","2000","Normal","Star Wars","Licensed","Minifig Pack","Star Wars #2 - Luke Skywalker, Han Solo and Boba Fett","X","3341-1","5","","","","","","22","3","Box","LEGO exclusive","","","","042884033415","","","","","","","1566","2589","0","0","X","12","165.0000","102.1800","","","","","","0","0","0","0","0","","","","","","","","",""
"1471","3342","1","2000","Normal","Star Wars","Licensed","Minifig Pack","Star Wars #3 - Chewbacca and 2 Biker Scouts","X","3342-1","5","","","","","","22","3","Box","LEGO exclusive","","","","042884033422","","","","","","","1482","2366","0","0","X","18","78.1400","52.6700","","","","","","0","0","0","0","0","","","","","","","","",""
"1472","3343","1","2000","Normal","Star Wars","Licensed","Minifig Pack","Star Wars #4 - Battle Droid Commander and 2 Battle Droids","X","3343-1","5","","","","","","30","3","Box","LEGO exclusive","","","","042884033439","","","","","","","1475","2184","0","0","X","25","73.0300","39.1300","","","","","","0","0","0","0","0","","","","","","","","",""
"2136","4475","1","2003","Normal","Star Wars","Licensed","Episode VI","Jabba's Message","X","4475-1","7","5.99","","","","","44","3","Box","Retail","4186050","4184324","5702014259386","673419017169","14.4","14.4","3.9","","","","7089","3304","1","2","X","148","88.7500","45.4700","","01/01/2003 00:00:00","31/12/2003 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"2137","4476","1","2003","Normal","Star Wars","Licensed","Episode VI","Jabba's Prize","X","4476-1","7","5.99","","","","","40","2","Box","Retail","4186051","4184325","5702014259393","","14.4","14.4","3.9","","","","7218","3602","1","2","X","132","133.1000","60.7500","","01/01/2003 00:00:00","31/12/2003 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"2138","4477","1","2003","Normal","Star Wars","Licensed","Episode IV","T-16 Skyhopper ","X","4477-1","15","12.99","","18.99","","","98","1","Box","Retail","4186048","4184326","5702014259355","","19.2","19.2","4.8","","","","4735","2521","1","2","X","63","73.1000","27.9000","","01/01/2003 00:00:00","31/12/2003 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"2139","4478","1","2003","Normal","Star Wars","Licensed","Episode II","Geonosian Fighter","X","4478-1","20","19.99","","28.99","","","170","4","Box","Retail","4186052","4184327","5702014259409","","28.8","19.2","4.8","","","","5065","3301","1","2","X","133","173.2600","78.4400","","01/01/2003 00:00:00","31/12/2004 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"2140","4479","1","2003","Normal","Star Wars","Licensed","Episode V","TIE Bomber","X","4479-1","30","27.99","","39.99","","","230","1","Box","Retail","4186062","4184328","","673419017213","28.8","28.8","6","","","","5662","3835","1","2","X","100","176.7800","59.1600","","01/01/2003 00:00:00","01/04/2005 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"2141","4480","1","2003","Normal","Star Wars","Licensed","Episode VI","Jabba's Palace","X","4480-1","30","27.99","","39.99","","","231","6","Box","Retail","4186331","4184329","5702014261372","673419017572","28.8","28.8","7.2","","","","5169","3767","1","2","X","92","270.0000","164.8400","","01/01/2003 00:00:00","31/12/2004 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"2142","4481","1","2003","Normal","Star Wars","Licensed","Episode II","Hailfire Droid","X","4481-1","50","44.99","","","","","681","","Box","Retail","4186332","4184330","","673419017589","38.4","28.8","9.6","","","","2986","3525","1","4","X","71","290.0000","149.7100","","01/06/2003 00:00:00","31/12/2003 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"2143","4482","1","2003","Normal","Star Wars","Licensed","Episode II","AT-TE","X","4482-1","70","64.99","","94.99","","","658","4","Box","Retail","4186334","4184331","5702014261396","","48","38.4","7.2","","","","3454","3947","1","0","X","63","578.7900","238.3000","","01/01/2003 00:00:00","31/12/2004 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"2144","4483","1","2003","Normal","Star Wars","Licensed","Episode V","AT-AT","X","4483-1","100","89.99","","129.99","","","1064","4","Box","Retail","4186198","4184332","","673419017381","57.6","38.4","9.6","","","","4917","4737","1","4","X","224","415.1300","152.4100","Henrik Andersen,","01/06/2003 00:00:00","31/12/2004 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"2145","4484","1","2003","Normal","Star Wars","Licensed","Mini Building Set","X-wing Fighter & TIE Advanced","X","4484-1","4","3.99","","","","","76","","Blister pack","Retail","4186196","4184333","5702014260337","673419017374","11","14.4","4.4","","","","6848","1788","1","2","X","74","27.8600","9.8700","","01/01/2003 00:00:00","31/12/2003 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"2146","4485","1","2003","Normal","Star Wars","Licensed","Mini Building Set","Sebulba's Podracer & Anakin's Podracer","X","4485-1","4","3.99","","","","","72","","Blister pack","Retail","4186193","4184334","5702014260306","673419017367","11","14.4","4.4","","","","6716","1524","1","2","X","103","13.5100","6.5600","","01/01/2003 00:00:00","31/12/2003 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"2147","4486","1","2003","Normal","Star Wars","Licensed","Mini Building Set","AT-ST & Snowspeeder","X","4486-1","4","3.99","","","","","76","","Blister pack","Retail","4184335","4184335","5702014260290","673419017350","11","14.4","4.4","","","","6963","1838","1","2","X","86","21.7600","9.9800","","01/01/2003 00:00:00","31/12/2003 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"2148","4487","1","2003","Normal","Star Wars","Licensed","Mini Building Set","Jedi Starfighter & Slave I","X","4487-1","4","3.99","","","","","53","","Blister pack","Retail","4186190","4184336","5702014260283","673419017343","11","14.4","4.4","","","","6975","1707","1","2","X","83","31.7800","9.2200","","01/01/2003 00:00:00","31/12/2003 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"2149","4488","1","2003","Normal","Star Wars","Licensed","Mini Building Set","Millennium Falcon","X","4488-1","7","6.99","","","","","87","","Blister pack","Retail","4186187","4186347","","673419017336","14.4","14.4","4.4","","","","6620","2104","1","2","X","57","49.3400","17.2600","","01/06/2003 00:00:00","01/06/2004 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"2150","4489","1","2003","Normal","Star Wars","Licensed","Mini Building Set","AT-AT","X","4489-1","7","6.99","","","","","98","","Blister pack","Retail","4186186","4184338","","673419017329","14.4","14.4","4.4","","","","5871","1885","1","2","X","47","38.5200","13.4600","","01/06/2003 00:00:00","01/06/2004 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"2151","4490","1","2003","Normal","Star Wars","Licensed","Mini Building Set","Republic Gunship","X","4490-1","7","6.99","","","","","102","","Blister pack","Retail","4186185","4184339","","673419017312","14.4","14.4","4.4","","","","5413","1946","1","2","X","53","38.1000","17.1400","","01/06/2003 00:00:00","01/06/2004 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"2152","4491","1","2003","Normal","Star Wars","Licensed","Mini Building Set","MTT","X","4491-1","7","6.99","","","","","99","","Blister pack","Retail","4186184","4184340","5702014260245","673419017305","14.4","14.4","4.4","","","","5708","1660","1","2","X","65","21.8000","7.9200","","01/06/2003 00:00:00","01/06/2004 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"2153","4492","1","2004","Normal","Star Wars","Licensed","Mini Building Set","Star Destroyer","X","4492-1","7","6.99","","","","","87","","Blister pack","Retail","4218167","4208721","5702014365414","673419034043","14.4","14.4","4.4","","","","5590","2000","1","2","X","71","29.3700","11.7600","","01/01/2004 00:00:00","31/12/2004 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"2154","4493","1","2004","Normal","Star Wars","Licensed","Mini Building Set","Sith Infiltrator","X","4493-1","6.99","6.99","","","","","55","","Blister pack","Retail","4218168","4216162","5702014371187","673419034050","14.4","14.4","4.4","","","","3632","1694","1","2","X","18","20.3000","11.3400","","01/01/2004 00:00:00","31/12/2004 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"2155","4494","1","2004","Normal","Star Wars","Licensed","Mini Building Set","Imperial Shuttle","X","4494-1","7","6.99","","","","","82","","Blister pack","Retail","4218169","4216164","5702014365575","673419034067","14.4","14.4","4.4","","","","4947","1934","1","2","X","44","28.4400","10.4100","","01/01/2004 00:00:00","31/12/2004 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"2156","4495","1","2004","Normal","Star Wars","Licensed","Mini Building Set","AT-TE","X","4495-1","7","6.99","","","","","63","","Blister pack","Retail","4218170","4208722","5702014365582","673419034074","14.4","14.4","4.4","","","","3608","1845","1","2","X","35","33.4100","12.7200","","01/01/2004 00:00:00","31/12/2004 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"2160","4500","1","2004","Normal","Star Wars","Licensed","Episode V","Rebel Snowspeeder","X","4500-1","20","19.99","","29.99","","","214","3","Box","Retail","4255351","4208723","5702014364738","673419060141","28.8","19.2","6","0.28","","","7207","3050","1","4","X","196","200.0000","30.9800","Bjarke Lykke Madsen,","01/01/2004 00:00:00","31/12/2005 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"2161","4501","1","2004","Normal","Star Wars","Licensed","Episode IV","Mos Eisley Cantina","X","4501-1","30","27.99","","42.99","","","193","5","Box","Retail","4216113","4216113","5702014364745","673419033725","28.8","28.8","7.2","","","","5357","4215","1","4","X","146","215.3400","152.0900","","01/01/2004 00:00:00","31/12/2004 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"2162","4502","1","2004","Normal","Star Wars","Licensed","Episode V","X-wing Fighter","X","4502-1","50","49.99","","74.99","","","563","3","Box","Retail","4255355","","5702014362826","673419060165","38.4","28.8","7.2","0.74","","","6172","4407","1","3","X","197","284.6300","146.8300","","","","","","0","0","0","0","0","","","","","","","","",""
