<<<<<<< HEAD

=======
title,type,release_date,overview
Star Wars,movie,1977-05-25,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.
Star Wars: Young Jedi Adventures,tv,2023-05-04,"Set during the High Republic era and the prime of the Jedi Order, follow Jedi younglings as they study the ways of the Force, explore the galaxy, help citizens and creatures in need, and learn valuable skills needed to become Jedi along the way."
Star Wars: The Clone Wars,tv,2008-10-03,"Yoda, Obi-Wan Kenobi, Anakin Skywalker, Mace Windu and other Jedi Knights lead the Grand Army of the Republic against the droid army of the Separatists."
Star Wars: Andor,tv,2022-09-21,"In an era filled with danger, deception and intrigue, Cassian Andor will discover the difference he can make in the struggle against the tyrannical Galactic Empire. He embarks on a path that is destined to turn him into a rebel hero."
Star Wars: Fun with Nubs,tv,2024-06-14,Star Wars: Fun with Nubs is an animated web series tied to Star Wars: Young Jedi Adventures.
LEGO Star Wars: All-Stars,tv,2018-11-10,"An adventure series that spans all Star Wars eras featuring LEGO versions of the fresh faces of the Star Wars galaxy alongside iconic heroes including Kylo Ren, R2-D2, Young Han, Chewie, Young Lando, BB-8 and General Leia."
Star Wars: The Force Awakens,movie,2015-12-15,"Thirty years after defeating the Galactic Empire, Han Solo and his allies face a new threat from the evil Kylo Ren and his army of Stormtroopers."
Star Wars: The Bad Batch,tv,2021-05-04,The 'Bad Batch' of elite and experimental clones make their way through an ever-changing galaxy in the immediate aftermath of the Clone Wars.
Star Wars: Visions,tv,2021-09-22,This anthology of animated shorts from around the world celebrates the mythos of Star Wars through unique cultural lenses.
Star Wars: The Last Jedi,movie,2017-12-13,"Rey develops her newly discovered abilities with the guidance of Luke Skywalker, who is unsettled by the strength of her powers. Meanwhile, the Resistance prepares to do battle with the First Order."
Rogue One: A Star Wars Story,movie,2016-12-14,A rogue band of resistance fighters unite for a mission to steal the Death Star plans and bring a new hope to the galaxy.
Star Wars Resistance,tv,2018-10-07,"Kazuda Xiono, a young pilot for the Resistance, is tasked with a top secret mission to investigate the First Order, a growing threat in the galaxy."
