,title,type,release_date,overview,year
6,Star Wars: The Force Awakens,movie,2015-12-15,"Thirty years after defeating the Galactic Empire, Han Solo and his allies face a new threat from the evil Kylo Ren and his army of Stormtroopers.",2015
9,Star Wars: The Last Jedi,movie,2017-12-13,"Rey develops her newly discovered abilities with the guidance of Luke Skywalker, who is unsettled by the strength of her powers. Meanwhile, the Resistance prepares to do battle with the First Order.",2017
10,Rogue One: A Star Wars Story,movie,2016-12-14,A rogue band of resistance fighters unite for a mission to steal the Death Star plans and bring a new hope to the galaxy.,2016
13,Star Wars: The Rise of Skywalker,movie,2019-12-18,"The surviving Resistance faces the First Order once again as the journey of Rey, Finn and Poe Dameron continues. With the power and knowledge of generations behind them, the final battle begins.",2019
16,Solo: A Star Wars Story,movie,2018-05-15,"Through a series of daring escapades deep within a dark and dangerous criminal underworld, Han Solo meets his mighty future copilot Chewbacca and encounters the notorious gambler Lando Calrissian.",2018
19,Star Wars: Episode III - Revenge of the Sith,movie,2005-05-17,The evil Darth Sidious enacts his final plan for unlimited power -- and the heroic Jedi Anakin Skywalker must choose a side.,2005
21,LEGO Star Wars Terrifying Tales,movie,2021-10-01,"Poe Dameron and BB-8 must face the greedy crime boss Graballa the Hutt, who has purchased Darth Vader’s castle and is renovating it into the galaxy’s first all-inclusive Sith-inspired luxury hotel.",2021
22,Star Wars: Episode I - The Phantom Menace,movie,1999-05-19,"Anakin Skywalker, a young slave strong with the Force, is discovered on Tatooine. Meanwhile, the evil Sith have returned, enacting their plot for revenge against the Jedi.",1999
27,Star Wars: Episode II - Attack of the Clones,movie,2002-05-15,"Following an assassination attempt on Senator Padmé Amidala, Jedi Knights Anakin Skywalker and Obi-Wan Kenobi investigate a mysterious plot that could change the galaxy forever.",2002
29,Star Wars: The Clone Wars,movie,2008-08-05,"As the Clone Wars sweep through the galaxy, the heroic Jedi Knights struggle to maintain order and restore peace. More and more systems are falling prey to the forces of the dark side as the Galactic Republic slips further and further under the sway of the Separatists and their never-ending droid army. Anakin Skywalker and his Padawan learner Ahsoka Tano find themselves on a mission with far-reaching consequences, one that brings them face-to-face with crime lord Jabba the Hutt. But Count Dooku and his sinister agents, including the nefarious Asajj Ventress, will stop at nothing to ensure that Anakin and Ahsoka fail at their quest. Meanwhile, on the front lines of the Clone Wars, Obi-Wan Kenobi and Master Yoda lead the massive clone army in a valiant effort to resist the forces of the dark side...",2008
42,LEGO Star Wars Summer Vacation,movie,2022-08-05,"Looking for a much-needed break, Finn arranges a surprise vacation for his friends Rey, Poe, Rose, Chewie, BB-8, R2-D2, and C-3PO, aboard the luxurious Halcyon. However, Finn's plan to have one last hurrah together quickly goes awry.",2022
44,Star Wars Rebels: The Siege of Lothal,movie,2015-04-18,The Ghost crew and their allies face Darth Vader for the first time and Ahsoka Tano discovers the true identity of Darth Vader.,2015
45,LEGO Star Wars Holiday Special,movie,2020-11-17,"As her friends prep for a Life Day holiday celebration, Rey journeys with BB-8 on a quest to gain a deeper knowledge of the Force at a mysterious Jedi Temple. There, she embarks on a cross-timeline adventure through beloved moments in Star Wars history, coming into contact with iconic heroes and villains from all eras of the saga. But will she make it back in time for the Life Day feast?",2020
46,Star Wars Biomes,movie,2021-05-04,"Take a virtual vacation to some of the Star Wars films’ most iconic and beloved locations like Hoth, Tatooine, and Sorgan, as this charming series whisks you off for fly-through tours of the Galaxy Far, Far Away.",2021
47,LEGO Star Wars: The Empire Strikes Out,movie,2012-09-24,"Luke Skywalker embarks on a mission to destroy an Imperial base, but is relentlessly chased by a group of fanatic girls who think of him as a celebrity. Meanwhile, Darth Vader engages a rivalry with Darth Maul, in order to prove that he's the best Sith Lord.",2012
