,Código del Set,Nombre del Set,Año de Lanzamiento,PVP $,Precio como Nuevo $,Porcentaje como nuevo,Tema
0,10123.0,Cloud City,2003.0,100.0,9487.48,9387.48,Star Wars
1,,Clone Wars (SDCC 2008 exclusive),,75.99,5102.52,6614.72,Star Wars
2,10026.0,Special Edition Naboo Starfighter,2002.0,39.99,2357.87,5796.15,Star Wars
3,2853590.0,Stormtrooper,2010.0,2.99,162.38,5330.84,Star Wars
4,65153.0,Jango Fett's Slave I with Bonus Cargo Case,2002.0,50.0,2117.85,4135.7,Star Wars
5,3341.0,"Star Wars #2 - Luke Skywalker, Han Solo and Boba Fett",2000.0,5.0,168.39,3267.76,Star Wars
6,3340.0,"Star Wars #1 - Emperor Palpatine, Darth Maul and Darth Vader",2000.0,5.0,167.28,3245.54,Star Wars
7,,Collectable Display Set 2,,49.99,1275.63,2451.76,Star Wars
8,4476.0,Jabba's Prize,2003.0,7.0,135.83,1840.4,Star Wars
9,10018.0,Darth Maul,2001.0,149.99,2850.47,1800.44,Star Wars
10,4766.0,Graveyard Duel,2005.0,30.0,404.44,1248.12,Harry Potter
11,,Rocket Raccoon's Warbird,,39.99,506.32,1166.11,Marvel
12,4701.0,Sorting Hat,2001.0,7.0,87.66,1152.27,Harry Potter
13,4721.0,Hogwarts Classrooms,2001.0,10.0,124.17,1141.68,Harry Potter
14,4762.0,Rescue from the Merpeople,2005.0,20.0,244.93,1124.63,Harry Potter
15,6866.0,Wolverine's Chopper Showdown,2012.0,19.99,236.84,1084.8,Marvel
16,4767.0,Harry and the Hungarian Horntail,2005.0,30.0,294.92,883.07,Harry Potter
17,4723.0,Diagon Alley Shops,2001.0,10.0,98.16,881.64,Harry Potter
18,4720.0,Knockturn Alley,2003.0,20.0,182.25,811.24,Harry Potter
19,4722.0,Gryffindor,2001.0,10.0,90.85,808.49,Harry Potter
20,4712.0,Troll on the Loose,2002.0,10.0,88.63,786.27,Harry Potter
21,4751.0,Harry and the Marauder's Map,2004.0,10.0,87.43,774.28,Harry Potter
22,30167.0,Iron Man vs. Fighting Drone,2013.0,4.99,19.83,297.45,Marvel
23,5002145.0,Rocket Raccoon,2014.0,4.99,19.65,293.71,Marvel
24,76039.0,Ant-Man Final Battle,2015.0,19.99,69.88,249.59,Marvel
25,76058.0,Spider-Man: Ghost Rider Team-Up,2016.0,19.99,67.24,236.38,Marvel
26,76015.0,Doc Ock Truck Heist,2014.0,19.99,61.26,206.45,Marvel
27,76113.0,Spider-Man Bike Rescue,2019.0,19.99,59.61,198.19,Marvel
28,76019.0,Starblaster Showdown ,2014.0,19.99,57.43,187.3,Marvel
29,76081.0,The Milano vs. The Abilisk,2017.0,49.99,143.52,187.09,Marvel
