,Código del Set,Nombre del Set,Año de Lanzamiento,PVP $,Precio como Nuevo $,Porcentaje como nuevo
0,4766,Graveyard Duel,2005,30.0,404.43700000000007,1248.12
1,4701,Sorting Hat,2001,7.0,87.659,1152.27
2,4721,Hogwarts Classrooms,2001,10.0,124.168,1141.68
3,4762,Rescue from the Merpeople,2005,20.0,244.92600000000002,1124.63
4,4767,Harry and the Hungarian Horntail,2005,30.0,294.92100000000005,883.07
5,4723,Diagon Alley Shops,2001,10.0,98.164,881.64
6,4720,Knockturn Alley,2003,20.0,182.24800000000002,811.24
7,4722,Gryffindor,2001,10.0,90.84900000000002,808.49
8,4712,Troll on the Loose,2002,10.0,88.627,786.27
9,4751,Harry and the Marauder's Map,2004,10.0,87.42800000000001,774.28
