,Código del Set,Nombre del Set,Año de Lanzamiento,PVP $,Precio como Nuevo $,Porcentaje como nuevo
0,,Rocket Raccoon's Warbird,,39.99,506.3190000000001,1166.11
1,6866,Wolverine's Chopper Showdown,2012,19.99,236.841,1084.8
2,30167,Iron Man vs. Fighting Drone,2013,4.99,19.833000000000002,297.45
3,5002145,Rocket Raccoon,2014,4.99,19.646,293.71
4,76039,Ant-Man Final Battle,2015,19.99,69.88300000000001,249.59
5,76058,Spider-Man: Ghost Rider Team-Up,2016,19.99,67.24300000000001,236.38
6,76015,Doc Ock Truck Heist,2014,19.99,61.259,206.45
7,76113,Spider-Man Bike Rescue,2019,19.99,59.609,198.19
8,76019,Starblaster Showdown ,2014,19.99,57.431000000000004,187.3
9,76081,The Milano vs. The Abilisk,2017,49.99,143.51700000000002,187.09
